type,group_year,title,place,year,keyword,playtime,summary,url,thumbnail,,,,,,,,,,
기록영상,1950,"흥남 철수, 한국,EVACUATION OF HUNGNAM, KOREA",미국 NARA,12/24/1950,"미해군 매시 (구축함). 11/24/1944-9/18/1947,국방부. 미해군. 리포스 (병원선). 9/18/1947-5/1/1970,민간인 대피,폭발,전쟁 피해,수륙 양용 장갑차",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"한국에 무스탕,MUSTANGA IN KOREA",미국 NARA,/,"항공 조종사,공장,비행기 격납고,군용기,대포,로켓 (대포),무스탕 (전투기),정비공 (인물)",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"심리전: 한국에서의 전투 무기,Psychological Warfare: A Combat Weapon in Korea",미국 NARA,ca. 1950,"공중포격,대포,군용차,화재,선전 투하,일본,송신탑,인쇄 공장",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"지뢰 제거선이 원산에서 운행, 항구, 북한,MINESWEEPER IN ACTION IN WONSAN, HARBOR, NORTH KOREA",미국 NARA,10/10/1950,"한국,국방부. 미해군. 목킹버드 (모터 지뢰 제거선). 9/18/1947-1/6/1956,항구,지뢰 (군용화약),선박,해안선,선박 조송술,",360,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"평화 강화 회담 무산리, 한국,CEASE FIRE TALKS Munsan-ni, Korea",미국 NARA,"8/1/1951,","유엔,미해군. 미국 해군 밴드. 1925-9/1947,C. 터너 조이 (찰스 터너), 1895-1956,의회와 협약,헬리콥터,사찰,경비병",180,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"평화 회담 개성, 한국,PEACE TALKS Kaesong, Korea",미국 NARA,7/10/1951,"유엔,C. 터너 조이 (찰스 터너), 1895-1956,매슈 B. 리즈웨이 (매슈 벙커), 1895-1993,항공 조종사,인터뷰,해군 장교,육군 장교,군 헬리콥터",240,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"대한민국 해군사관학교,REPUBLIC OF KOREA NAVAL ACADEMY",미국 NARA,3/15/1951,"한국,깃발,군사 교육",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1949,"부산에서의 활동, 한국,ACTIVITIES AT PUSAN, KOREA",미국 NARA,,"민간인 대피,한국인,포로,신병 모집과 협조,선박,사찰,지프차,경비병",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"유엔 서울 안으로 후퇴, 서울,UN RETREAT INTO SEOUL, KOREA",미국 NARA,,"군용트럭,나룻배,수여식,사진사,피난민,배식,취사,LP",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"""THIS IS KOREA"" 부록,SUPPLEMENTS TO ""THIS IS KOREA""",미국 NARA,1951,"국방부. 미해군. 미수리 (전함). 5/10/1985-3/31/1992,항공 조종사,비행기,공중 포격,군용기,로켓 (대포),스카이 레이더 (전투기),수역",840,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"전쟁 고아, 한국,WAR ORPHANS, KOREA",미국 NARA,,"어린이,춤,헌병대,간호사,고아원,트럭,레슬링,신체 진단",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"한국에 유엔군,UN FORCES IN KOREA",미국 NARA,,"버스,선박,아코디언,주사위게임,쌍안경,깃발,군악대,군용트럭,연설",480,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"한국에 유엔군,UN FORCES IN KOREA",미국 NARA,,"초가집,군용차,통조림,송수화기,군용기,포탄,연료주입,공중 포격,박격포",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"한국에 유엔군,UN FORCES IN KOREA",미국 NARA,,"군용차,포탄,바주카,화염방사기,총검,군함,환영 행사",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"한국에 캐나다인, 임진강,CANADIANS IN KOREA, IMJIN RIVER",미국 NARA,9/20/1951,"텐트,대포,포격,지도,군용차,쌍안경,송수화기",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1953,"Little Switch 작전, 부산, 한국,Operation Little Switch, Pusan, Korea",미국 NARA,4/19/1953,"부산 (한국),유엔,미국 적십자 2/12/1978-,Little Switch 작전, 1953,병과 부상에 대한 전시 구조",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"북한에 대한 항공모함 공격,CARRIER STRIKE AGAINST NORTHERN KOREA",미국 NARA,8/1950,"미해군. 밸리 포지 (항공모함). 11/3/1946-9/19/1947,원자 폭탄,항공 포격,로켓 (대포),선박,터널",960,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"제1 해병대 사단이 활동에 들어가다 벙커 언덕 지역, 한국,FIRST MARINE DIVISION IN ACTION Bunker Hill Area, Korea",미국 NARA,8/16/1952,",공중 폭격,소형 화기,요새,해병대,트럭,군 헬리콥터,저격수",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"미국해군전함 뉴저지 (BB-62) 적을 폭격하다 원산, 한국,USS NEW JERSEY (BB-62) BOMBARDING ENEMY Wonsan, Korea",미국 NARA,,"한국,미해군. 뉴저지 (전함). 5/23/1943-9/18/1947,전함,항공",120,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"정예 구축함 사단 161 고국 한국으로부터 이빨 드러내다,CRACK DESTROYER DIVISION 161 HOME FROM KOREA SHOWS ITS TEETH",미국 NARA,1951,"군함,항공뷰,포격,행진,군악대,선원,의장대,의례와 의식",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1953,"""BIG SWITCH"" 작전, 거제도 섬, 한국,OPERATION ""BIG SWITCH"", KOJE-DO ISLAND, KOREA",미국 NARA,8/5/1953,"거제도,의복 및 의상,상륙 작전,전쟁 포로,신발,파이프,대형 수송함,경비병",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1953,"한국 회복을 위한 미국 정부 수송, 부산, 한국,U.S. GOVERNMENT SHIPMENT FOR KOREAN RECOVERY, PUSAN, KOREA",미국 NARA,8/29/1953,"부산 (한국),이승만, 1875-1965,엘리스 O. 브릭스 (엘리스 옴스비), 1899-1976,어린이,오락 행사,선박,담화,연설",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"저격 산등성이 구역: 금화 지역, 한국,Sniper Ridge Area : Kumwha Sector, Korea",미국 NARA,11/25/1952,"위장,발사체,로켓 발사대 (대포),로켓 (대포),탱크,육군 장교,신호와 신호판,곡사포",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"전쟁에서의 여성, 무산리, 한국,Women in War, Munsan-Ni, Korea",미국 NARA,5/8/1952,"무산리 (경기도, 한국),매슈 B. 리즈웨이 (리즈웨이 벙커), 1895-,C. 터너 조이 (찰스 터너), 1895-1956,마크 W. 클락 (마크 웨인), 1896-1984,하워드 M. 터너 (하워드 맥메스), 1902-1965,동성 훈장 (U.S.)",480,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
